GraderBatchID,GraderBatchNo,Orchard,RPIN,Production site,Owner,HarvestDate,PackDate,Packing site,Storage type,InputKgs,RejectKgs,FieldBinsTipped,Season,MaturityCode,PickNo,PresizeInputFlag,BatchStatus,Packout,TotalRTEs
3898,165,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-08,2023-03-20,Te Ipu Packhouse (RO),Smartfreshed,20674.81,2813,47,2023,B,1st Pick,FALSE,Closed,0.8639407085240445,36585.8
4457,677,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-06,2023-06-12,Te Ipu Packhouse (RO),Smartfreshed,15643.74,2782,36,2023,A,1st Pick,FALSE,Closed,0.8221652878403758,24019.8
4490,706,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-13,2023-06-18,Te Ipu Packhouse (RO),Smartfreshed,14119.61,3972,33,2023,A,2nd Pick,FALSE,Closed,0.71868911393445,17353.2
4594,799,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-14,2023-07-03,Te Ipu Packhouse (RO),Smartfreshed,16504.06,5465,39,2023,B,3rd Pick,FALSE,Closed,0.6688693569945819,17478
4601,806,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-21,2023-07-03,Te Ipu Packhouse (RO),Smartfreshed,8601.7,2556,20,2023,B,3rd Pick,FALSE,Closed,0.7028494367392493,9761.2
4614,817,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-14,2023-07-05,Te Ipu Packhouse (RO),Smartfreshed,8559.89,2384,20,2023,A,2nd Pick,FALSE,Closed,0.7214917481416233,10325
4617,819,Te Wairua,R2915,A,Ngai Tukairangi Trust,2023-03-15,2023-07-05,Te Ipu Packhouse (RO),Smartfreshed,21816.01,7802,51,2023,B,2nd Pick,FALSE,Closed,0.6423727345192819,24308
5131,127,Tukituki,R1262,D,Ngai Tukairangi Trust,2024-03-15,2024-03-25,Te Ipu Packhouse (RO),Smartfreshed,9134.19,1837,21,2024,A,2nd Pick,FALSE,Closed,0.7988874766125951,15729.8
5132,126,Tukituki,R1262,C,Ngai Tukairangi Trust,2024-03-15,2024-03-25,Te Ipu Packhouse (RO),Smartfreshed,10909.18,2733,25,2024,A,2nd Pick,FALSE,Closed,0.7494770459374582,17188.23
5223,206,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-25,2024-04-12,Te Ipu Packhouse (RO),CA Smartfresh,9728.79,2729,22,2024,B,3rd Pick,FALSE,Closed,0.719492352080783,16884.2
5500,435,Tukituki,R1262,G,Ngai Tukairangi Trust,2024-03-14,2024-05-20,Te Ipu Packhouse (RO),Smartfreshed,9471.22,2700,22,2024,A,2nd Pick,FALSE,Closed,0.7149258490458462,14293.9
5501,436,Tukituki,R1262,F,Ngai Tukairangi Trust,2024-03-14,2024-05-20,Te Ipu Packhouse (RO),Smartfreshed,18776.58,5322,44,2024,A,2nd Pick,FALSE,Closed,0.7165618019894997,30066.6
5617,538,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-25,2024-06-11,Te Ipu Packhouse (RO),Smartfreshed,5319.78,1678,12,2024,A,3rd Pick,FALSE,Closed,0.684573422209189,8876.44
5653,562,Tukituki,R1262,A,Ngai Tukairangi Trust,2024-03-15,2024-06-15,Te Ipu Packhouse (RO),Smartfreshed,10745.72,2614,25,2024,A,2nd Pick,FALSE,Closed,0.7567403580216123,17098
5666,563,Tukituki,R1262,A,Ngai Tukairangi Trust,2024-03-16,2024-06-16,Te Ipu Packhouse (RO),Smartfreshed,8509.22,3065,20,2024,A,2nd Pick,FALSE,Closed,0.6398024730821391,11327.8
5716,607,Tukituki,R1262,D,Ngai Tukairangi Trust,2024-03-14,2024-06-25,Te Ipu Packhouse (RO),Smartfreshed,9364.41,2268,22,2024,A,2nd Pick,FALSE,Closed,0.7578064181299196,16281.91
5717,608,Tukituki,R1262,C,Ngai Tukairangi Trust,2024-03-15,2024-06-25,Te Ipu Packhouse (RO),Smartfreshed,1730.62,436,4,2024,A,2nd Pick,FALSE,Closed,0.7480671666801493,2719.2
5718,609,Tukituki,R1262,G,Ngai Tukairangi Trust,2024-03-06,2024-06-25,Te Ipu Packhouse (RO),Smartfreshed,15423.53,3307,36,2024,A,1st Pick,FALSE,Closed,0.7855873460874392,24271.2
5791,667,Tukituki,R1262,A,Ngai Tukairangi Trust,2024-03-16,2024-07-11,Te Ipu Packhouse (RO),Smartfreshed,2988.9,1143,7,2024,A,2nd Pick,FALSE,Closed,0.6175850647395362,3898.2000000000003
6104,862,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-12,2024-08-28,Te Ipu Packhouse (RO),CA Smartfresh,17335.34,6674.66,41,2024,A,1st Pick,FALSE,Closed,0.6149680363927099,24791
6119,871,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-12,2024-08-30,Te Ipu Packhouse (RO),CA Smartfresh,39597.06,16193.98,92,2024,B,2nd Pick,FALSE,Closed,0.59103074824242,52143.4
6165,902,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-13,2024-09-09,Te Ipu Packhouse (RO),CA Smartfresh,103576.03,39193,240,2024,B,3rd Pick,FALSE,Closed,0.6216016389120147,151425.83
6242,935,Te Wairua,R2915,A,Ngai Tukairangi Trust,2024-03-21,2024-09-18,Te Ipu Packhouse (RO),CA Smartfresh,31240.11,12425.98,72,2024,B,2nd Pick,FALSE,Closed,0.6022427577879848,45273.62
